"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5410","navigate to form page @smoke","chromium","Mon Nov 18 10:34:07 BDT 2024","passed","Mon Nov 18 10:34:12 BDT 2024","","usePageObjects.spec.ts","",""
"","5160","parametrized methods @smoke","chromium","Mon Nov 18 10:34:07 BDT 2024","passed","Mon Nov 18 10:34:12 BDT 2024","","usePageObjects.spec.ts","",""
